sysbench --test=cpu run

[29240.335705] Planted jprobe at ffffffff919da6b0, handler addr ffffffffc05a2000
[29243.076082] 139706647611856  9772
[29243.076085] 139706637957226  9772
[29243.076092] 139706647726504  9772
[29243.076096] 139706641082336  9772
[29243.076100] 4488444  9772
[29243.076104] 140726440463672  9772
[29243.076106] 4315280  9772
[29243.076149] 4329344  9772
[29243.076154] 139706637342496  9772
[29243.076159] 7333136  9772
[29243.076161] 4585312  9772
[29243.076165] 139706638134528  9772
[29243.076172] 7294532  9772
[29243.076178] 4409312  9772
[29243.076180] 9720008  9772
[29243.076182] 7346968  9772
[29243.076186] 139706637684480  9772
[29243.076191] 9932880  9772
[29243.076192] 4677152  9772
[29243.076196] 4956096  9772
[29243.076199] 5081808  9772
[29243.076202] 9495744  9772
[29243.076203] 139706637798944  9772
[29243.076206] 139706638725448  9772
[29243.076209] 9644912  9772
[29243.076214] 9747312  9772
[29243.076218] 9640000  9772
[29243.076222] 9952656  9772
[29243.076225] 9995888  9772
[29243.076227] 9237200  9772
[29243.076229] 4648912  9772
[29243.076231] 7337640  9772
[29243.076233] 4820896  9772
[29243.076236] 10009728 9772
[29243.076238] 9926448  9772
[29243.076240] 9970384  9772
[29243.076242] 9967936  9772
[29243.076244] 9930800  9772
[29243.076249] 9993744  9772
[29243.076253] 8367600  9772
[29243.076257] 9959792  9772
[29243.076259] 8326072  9772
[29243.076263] 9748800  9772
[29243.076268] 5042449  9772
[29243.076272] 7349320  9772
[29243.076273] 9725184  9772
[29243.076276] 8346276  9772
[29243.076278] 9838884  9772
[29243.076280] 139706634246379  9772
[29243.076287] 139706638454432  9772
[29243.076290] 9326712  9772
[29243.076298] 7327056  9772
[29243.076300] 139706645567136  9772
[29243.076304] 139706645534752  9772
[29243.076307] 4215893  9772
[29243.076313] 139706643206776  9772
[29243.076317] 139706641093160  9772
[29243.076319] 139706637125312  9772
[29243.076323] 139706637206476  9772
[29243.076350] 140737488351206  9772
[29243.076452] 6407168  9772
[29243.076469] 139695582797760  9772
[29243.076475] 140732142603609  9772
[29243.076482] 139695580544192  9772
[29243.076486] 139695582792800  9772
[29243.076489] 139695580665504  9772
[29243.076491] 139695582798080  9772
[29243.076500] 4194368  9772
[29243.076504] 6401512  9772
[29243.076507] 140732142686264  9772
[29243.076515] 139695582781448  9772
[29243.076517] 139695580610208  9772
[29243.076520] 6401776  9772
[29243.076535] 139695582691328  9772
[29243.076542] 139695582786720  9772
[29243.076550] 140732142600176  9772
[29243.076559] 139695580516384  9772
[29243.076563] 139695580047480  9772
[29243.076567] 139695580047792  9772
[29243.076571] 139695574184432  9772
[29243.076594] 139695574164128  9772
[29243.076598] 139695574162768  9772
[29243.076601] 139695574162920  9772
[29243.076605] 139695571968640  9772
[29243.076617] 139695582687272  9772
[29243.076627] 139695571964492  9772
[29243.076629] 139695571963256  9772
[29243.076631] 139695571963408  9772
[29243.076635] 139695569838608  9772
[29243.076652] 139695569834220  9772
[29243.076656] 139695569833352  9772
[29243.076658] 139695569833504  9772
[29243.076662] 139695566656016  9772
[29243.076669] 139695582765289  9772
[29243.076685] 139695566636832  9772
[29243.076690] 139695566629792  9772
[29243.076692] 139695566629880  9772
[29243.076696] 139695562687160  9772
[29243.076700] 139695562778820  9772
[29243.076711] 139695582683176  9772
[29243.076721] 139695562682688  9772
[29243.076724] 139695562681808  9772
[29243.076726] 139695562682024  9772
[29243.076730] 139695560483312  9772
[29243.076749] 139695560478832  9772
[29243.076752] 139695560478088  9772
[29243.076754] 139695560478240  9772
[29243.076758] 139695558369808  9772
[29243.076780] 139695558351976  9772
